"component","origin","license","copyright"
"adler2","adler2","['0BSD OR MIT OR Apache-2.0']","['Jonas Schievink <jonasschievink@gmail.com>']"
"aho-corasick","aho-corasick","['Unlicense OR MIT']","['// a', '83', 'Andrew Gallant']"
"anes","anes","['MIT OR Apache-2.0']","[]"
"anstream","anstream","['MIT OR Apache-2.0']","['Individual contributors']"
"anstyle","anstyle","['MIT OR Apache-2.0']","['Individual contributors']"
"anstyle-parse","anstyle-parse","['MIT OR Apache-2.0']","['Individual contributors']"
"anstyle-query","anstyle-query","['MIT OR Apache-2.0']","['Individual contributors']"
"anstyle-wincon","anstyle-wincon","['MIT OR Apache-2.0']","['Individual contributors']"
"anyhow","anyhow","['MIT OR Apache-2.0']","[]"
"ar_archive_writer","ar_archive_writer","['Apache-2.0 WITH LLVM-exception']","[]"
"arbitrary","arbitrary","['MIT OR Apache-2.0']","['Manish Goregaokar', 'The Rust Fuzz Project Developers']"
"arrayref","arrayref","['BSD-2-Clause']","['David Roundy <roundyd@physics.oregonstate.edu>']"
"arrayvec","arrayvec","['MIT OR Apache-2.0']","['The Rust Project', 'The Rust Project Developers', 'Ulrik Sverdrup']"
"autocfg","autocfg","['Apache-2.0 OR MIT']","['Josh Stone']"
"base64","base64","['MIT OR Apache-2.0']","['Alice Maz']"
"bitflags","bitflags","['MIT OR Apache-2.0']","['The Rust Project Developers']"
"bstr","bstr","['MIT OR Apache-2.0']","['Andrew Gallant']"
"bumpalo","bumpalo","['MIT OR Apache-2.0']","['Nick Fitzgerald', 'The Rust Project Developers']"
"bytemuck","bytemuck","['Zlib OR Apache-2.0 OR MIT']","['Daniel Lokathor Gee']"
"cast","cast","['MIT OR Apache-2.0']","['Jorge Aparicio']"
"cc","cc","['MIT OR Apache-2.0']","['Alex Crichton']"
"cfg-if","cfg-if","['MIT OR Apache-2.0']","['Alex Crichton']"
"chacha20","chacha20","['MIT OR Apache-2.0']","['The RustCrypto Project Developers']"
"ciborium","ciborium","['Apache-2.0']","[]"
"ciborium-io","ciborium-io","['Apache-2.0']","[]"
"ciborium-ll","ciborium-ll","['Apache-2.0']","[]"
"clap","clap","['MIT OR Apache-2.0']","['Individual contributors', 'Kevin B. Knapp and clap-rs contributors (https://github.com/clap-rs/clap/graphs/contributors)']"
"clap_builder","clap_builder","['MIT OR Apache-2.0']","['Individual contributors', 'Kevin B. Knapp and clap-rs contributors (https://github.com/clap-rs/clap/graphs/contributors)', 'The Rust Project Developers', 'me@mail.com']"
"clap_derive","clap_derive","['MIT OR Apache-2.0']","['Guillaume Pinot (@TeXitoi) <texitoi@texitoi.eu>', 'Individual contributors', 'Kevin Knapp']"
"clap_lex","clap_lex","['MIT OR Apache-2.0']","['Individual contributors']"
"colorchoice","colorchoice","['MIT OR Apache-2.0']","['Individual contributors']"
"core_maths","core_maths","['MIT']","['Robert Bastian']"
"cpufeatures","cpufeatures","['MIT OR Apache-2.0']","['The RustCrypto Project Developers']"
"crc32fast","crc32fast","['MIT OR Apache-2.0']","['Alex Crichton and contributors', 'Sam Rijs']"
"criterion","criterion","['Apache-2.0 OR MIT']","['Jorge Aparicio']"
"criterion-plot","criterion-plot","['MIT OR Apache-2.0']","['Jorge Aparicio']"
"crossbeam-deque","crossbeam-deque","['MIT OR Apache-2.0']","['The Crossbeam Project', 'The Crossbeam Project Developers']"
"crossbeam-epoch","crossbeam-epoch","['MIT OR Apache-2.0']","['The Crossbeam Project', 'The Crossbeam Project Developers']"
"crossbeam-utils","crossbeam-utils","['MIT OR Apache-2.0']","['The Crossbeam Project', 'The Crossbeam Project Developers']"
"crunchy","crunchy","['MIT']","['Eira Fransham']"
"cssparser","cssparser","['MPL-2.0']","[]"
"cssparser-macros","cssparser-macros","['MPL-2.0']","[]"
"data-url","data-url","['MIT OR Apache-2.0']","[]"
"dbus","dbus","['Apache-2.0 OR MIT']","['David Henningsson <diwic@ubuntu.com> and other contributors']"
"derive_arbitrary","derive_arbitrary","['MIT OR Apache-2.0']","['Manish Goregaokar']"
"dtoa","dtoa","['MIT OR Apache-2.0']","['THL A29 Limited', 'a Tencent company', 'and Milo Yip']"
"dtoa-short","dtoa-short","['MPL-2.0']","[]"
"either","either","['MIT OR Apache-2.0']","['Permission']"
"equivalent","equivalent","['Apache-2.0 OR MIT']","['Permission']"
"errno","errno","['MIT OR Apache-2.0']","['Chris Wong', 'The Rust Project', 'The Rust Project Developers']"
"euclid","euclid","['MIT OR Apache-2.0']","[]"
"fastrand","fastrand","['Apache-2.0 OR MIT']","[]"
"find-msvc-tools","find-msvc-tools","['MIT OR Apache-2.0']","['Alex Crichton', 'The Rust Project Developers', 'winapi-rs developers']"
"flate2","flate2","['MIT OR Apache-2.0']","['Alex Crichton', 'The Rust Project Developers']"
"float-cmp","float-cmp","['MIT']","['Optimal Computing (NZ) Ltd', 'Optimal Computing (NZ) Ltd.']"
"foldhash","foldhash","['Zlib']","['Orson Peters']"
"fontconfig-parser","fontconfig-parser","['MIT']","[]"
"fontdb","fontdb","['MIT']","['Yevhenii Reizner']"
"futf","futf","['MIT OR Apache-2.0']","['Keegan McAllister']"
"getrandom","getrandom","['MIT OR Apache-2.0']","['The Rust Project', 'The Rust Project Developers', 'The rust-random Project Developers']"
"github.com/AdaLogics/go-fuzz-headers","https://github.com/AdaLogics/go-fuzz-headers","['Apache-2.0']","['AdaLogics']"
"github.com/DataDog/barkus","https://github.com/DataDog/barkus","['Apache-2.0']","['April Tom Everett', 'Bart Kiers', 'DataDog', 'Datadog, Inc.', 'Martin Mirchev', 'Sam Harwell']"
"github.com/DataDog/barkus/benchmarks/suts/pg_query_go/harness","https://github.com/DataDog/barkus","['Apache-2.0']","['DataDog', 'Datadog, Inc.']"
"github.com/DataDog/barkus/benchmarks/suts/simdjson-go/harness","https://github.com/DataDog/barkus","['Apache-2.0']","['DataDog', 'Datadog, Inc.']"
"github.com/DataDog/barkus/benchmarks/suts/vitess/harness","https://github.com/DataDog/barkus","['Apache-2.0']","['DataDog', 'Datadog, Inc.']"
"github.com/DataDog/barkus/benchmarks/suts/yaml-go/harness","https://github.com/DataDog/barkus","['Apache-2.0']","['DataDog', 'Datadog, Inc.']"
"github.com/adalogics/go-fuzz-headers","https://github.com/AdaLogics/go-fuzz-headers","['Apache-2.0']","['The go-fuzz-headers']"
"github.com/golang/glog","https://github.com/golang/glog","['Apache-2.0']","['Google Inc.']"
"github.com/klauspost/compress","https://github.com/klauspost/compress","['Apache-2.0 AND BSD-3-Clause AND MIT']","['+ Klaus Post', 'Caleb Spare', 'Credit', 'Credit Agricole', 'Klaus Post', 'The Go Authors', 'The New York Times Company', 'The Snappy-Go Authors', 'The filepathx', 'Yann Collet']"
"github.com/klauspost/cpuid/v2","https://github.com/klauspost/cpuid/v2","['MIT']","['- Klaus Post & Contributors', 'Klaus Post', 'The Go Authors']"
"github.com/lmittmann/tint","https://github.com/lmittmann/tint","['MIT']","['lmittmann']"
"github.com/mattn/go-isatty","https://github.com/mattn/go-isatty","['MIT']","['Yasuhiro MATSUMOTO']"
"github.com/minio/simdjson-go","https://github.com/minio/simdjson-go","['Apache-2.0']","['MinIO, Inc.', 'The Go Authors']"
"github.com/pganalyze/pg_query_go/v6","https://github.com/pganalyze/pg_query_go","['BSD-3-Clause']","['Duboce Labs, Inc. (pganalyze)', 'Lukas Fittl']"
"github.com/planetscale/vtprotobuf","https://github.com/planetscale/vtprotobuf","['BSD-3-Clause']","['Bob Matcuk', 'Google Inc.', 'PlanetScale Inc.', 'The Go Authors', 'The GoGo Authors', 'gRPC']"
"github.com/spf13/pflag","https://github.com/spf13/pflag","['BSD-3-Clause']","['Alex Ogier', 'The Go Authors']"
"golang.org/x/sys","https://golang.org/x/sys","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"google.golang.org/genproto/googleapis/rpc","https://google.golang.org/genproto/googleapis/rpc","['Apache-2.0']","[]"
"google.golang.org/grpc","https://google.golang.org/grpc","['Apache-2.0']","['The gRPC Authors', 'gRPC', 'wg.Done (category)']"
"google.golang.org/protobuf","https://google.golang.org/protobuf","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['Google Inc.', 'The Go Authors', 'd d d d Google Inc', 'd d d d The Go Authors']"
"gopkg.in/yaml.v3","https://gopkg.in/yaml.v3","['Apache-2.0']","['Canonical Ltd', 'Canonical Ltd.', 'Kirill Simonov']"
"half","half","['MIT OR Apache-2.0']","['Kathryn Long', 'Kathryn Long <squeeself@gmail.com>']"
"hashbrown","hashbrown","['MIT OR Apache-2.0']","[""Amanieu d'Antras""]"
"heck","heck","['MIT OR Apache-2.0']","['The Rust Project', 'The Rust Project Developers']"
"hermit-abi","hermit-abi","['MIT OR Apache-2.0']","[]"
"hex","hex","['MIT OR Apache-2.0']","['The Rust Project', 'The Rust Project Developers', 'The rust-hex', 'The rust-hex Developers']"
"html5ever","html5ever","['MIT OR Apache-2.0']","['The html5ever Project', 'The html5ever Project Developers']"
"id-arena","id-arena","['MIT OR Apache-2.0']","['Alex Crichton']"
"imagesize","imagesize","['MIT']","[]"
"indexmap","indexmap","['Apache-2.0 OR MIT']","[]"
"is-terminal","is-terminal","['MIT']","[]"
"is_terminal_polyfill","is_terminal_polyfill","['MIT OR Apache-2.0']","['Individual contributors']"
"itertools","itertools","['MIT OR Apache-2.0']","['Permission']"
"itoa","itoa","['MIT OR Apache-2.0']","[]"
"jobserver","jobserver","['MIT OR Apache-2.0']","['Alex Crichton']"
"js-sys","js-sys","['MIT OR Apache-2.0']","['Alex Crichton']"
"kurbo","kurbo","['Apache-2.0 OR MIT']","[]"
"leb128fmt","leb128fmt","['MIT OR Apache-2.0']","[]"
"libc","libc","['MIT OR Apache-2.0']","['The Rust Project Developers']"
"libdbus-sys","libdbus-sys","[]","[]"
"libfuzzer-sys","libfuzzer-sys","['(MIT OR Apache-2.0) AND NCSA']","['The Rust Project Developers']"
"libm","libm","['MIT']","['Alexei Sibidanov.', 'Alexei Sibidanov. Ported', 'Arm Limited', 'Bruce D. Evans', 'David Schultz', 'David Schultz <das@FreeBSD.ORG>', 'Jorge Aparicio', 'Rich Felker', 'Stephen L. Moshier', 'Steven G. Kargl', 'Sun Microsystems', 'Sun Microsystems, Inc.', 'by Sun Microsystems, Inc.']"
"linux-raw-sys","linux-raw-sys","['Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT']","[]"
"lock_api","lock_api","['MIT OR Apache-2.0']","[""Amanieu d'Antras"", 'The Rust Project', 'The Rust Project Developers']"
"log","log","['MIT OR Apache-2.0']","['The Rust Project', 'The Rust Project Developers']"
"mac","mac","['MIT OR Apache-2.0']","[]"
"markup5ever","markup5ever","['MIT OR Apache-2.0']","['The html5ever Project', 'The html5ever Project Developers']"
"markup5ever_rcdom","markup5ever_rcdom","['MIT OR Apache-2.0']","['/ Andrey Vlasovskikh', 'Geoffrey Sneddon', 'Geoffrey Sneddon and other contributors', 'James Graham', 'The html5ever Project', 'and other contributors']"
"memchr","memchr","['Unlicense OR MIT']","['// a', '83', 'Andrew Gallant']"
"memmap2","memmap2","['MIT OR Apache-2.0']","['Dan Burkert', 'Yevhenii Reizner']"
"miniz_oxide","miniz_oxide","['MIT OR Zlib OR Apache-2.0']","['Frommi', 'RAD Game', 'Rich Geldreich and Tenacious Software LLC', 'oyvindln']"
"new_debug_unreachable","new_debug_unreachable","['MIT']","['Jonathan Reem']"
"normpath","normpath","['MIT OR Apache-2.0']","[]"
"num-traits","num-traits","['MIT OR Apache-2.0']","['The Rust Project', 'The Rust Project Developers']"
"object","object","['Apache-2.0 OR MIT']","['The Gimli Developers']"
"once_cell","once_cell","['MIT OR Apache-2.0']","[]"
"once_cell_polyfill","once_cell_polyfill","['MIT OR Apache-2.0']","['Individual contributors']"
"oorandom","oorandom","['MIT']","['Simon Heath']"
